well,electrode,mean_spikes,median_spikes,std_spikes,min_spikes,max_spikes,total_spikes,frac_nonzero,n_measurements
21,14,262.0,71.0,354.090452823128,0.0,1362.0,10742,0.9512195121951219,41
21,15,811.9024390243902,22.0,1501.1187016140711,0.0,4989.0,33288,0.975609756097561,41
21,16,429.4878048780488,136.0,767.8700068450744,0.0,2986.0,17609,0.9512195121951219,41
22,1,277.9024390243902,52.0,436.3495357063238,0.0,1885.0,11394,0.9512195121951219,41
22,2,51.78048780487805,15.0,110.96835677182976,0.0,657.0,2123,0.926829268292683,41
22,3,420.0243902439024,10.0,898.5838584264844,0.0,3782.0,17221,0.926829268292683,41
22,4,1108.1707317073171,27.0,1870.57760614383,0.0,7682.0,45435,0.9512195121951219,41
22,5,246.21951219512195,11.0,437.75990257468885,0.0,1878.0,10095,0.9512195121951219,41
22,6,73.53658536585365,3.0,167.60058466062753,0.0,676.0,3015,0.9512195121951219,41
22,7,35.78048780487805,3.0,126.65596038955714,0.0,768.0,1467,0.926829268292683,41
22,8,93.8048780487805,3.0,315.1310389084543,0.0,1453.0,3846,0.9024390243902439,41
22,9,4.878048780487805,3.0,9.507878945716596,0.0,57.0,200,0.9512195121951219,41
22,10,5.804878048780488,3.0,9.14708940031325,0.0,55.0,238,0.9512195121951219,41
22,11,122.5609756097561,3.0,488.30348663762663,0.0,2784.0,5025,0.926829268292683,41
22,12,42.51219512195122,2.0,150.0283098409031,0.0,736.0,1743,0.8536585365853658,41
22,13,3.4146341463414633,3.0,4.977880878133064,0.0,32.0,140,0.9024390243902439,41
22,14,5.463414634146342,2.0,16.56928919531054,0.0,109.0,224,0.8536585365853658,41
22,15,309.0,3.0,630.2138235667591,0.0,2386.0,12669,0.926829268292683,41
22,16,64.46341463414635,3.0,156.1965768278246,0.0,624.0,2643,0.8292682926829268,41
23,1,135.8780487804878,3.0,336.19986761085823,0.0,1534.0,5571,0.926829268292683,41
23,2,1690.2682926829268,1137.0,1922.351520155309,0.0,6149.0,69301,0.975609756097561,41
23,3,268.609756097561,132.0,302.9320843187407,1.0,1041.0,11013,1.0,41
23,4,6.146341463414634,2.0,15.332988469166665,0.0,74.0,252,0.8780487804878049,41
23,5,35.5609756097561,2.0,107.07053721968337,0.0,656.0,1458,0.9024390243902439,41
23,6,10.609756097560975,2.0,45.95537498687628,0.0,300.0,435,0.8780487804878049,41
23,7,24.51219512195122,2.0,71.81586275999146,0.0,321.0,1005,0.8780487804878049,41
23,8,4.487804878048781,3.0,5.20376013779301,0.0,31.0,184,0.9024390243902439,41
23,9,98.63414634146342,4.0,285.360427298835,0.0,1317.0,4044,0.8780487804878049,41
23,10,2.7804878048780486,2.0,1.9817729820265246,0.0,8.0,114,0.8780487804878049,41
23,11,5.414634146341464,2.0,17.44115627426187,0.0,114.0,222,0.8048780487804879,41
23,12,2.4390243902439024,2.0,1.7813228913668502,0.0,8.0,100,0.8536585365853658,41
23,13,3.3658536585365852,2.0,5.485039953879765,0.0,36.0,138,0.926829268292683,41
23,14,157.85365853658536,3.0,315.0383299153984,0.0,1114.0,6472,0.9512195121951219,41
23,15,22.75609756097561,3.0,57.65193309550877,0.0,286.0,933,0.8780487804878049,41
23,16,1174.3170731707316,69.0,1930.8448351727761,0.0,6651.0,48147,0.926829268292683,41
24,1,2.3658536585365852,2.0,1.972445523820071,0.0,7.0,97,0.8536585365853658,41
24,2,4.414634146341464,3.0,5.40990784717555,0.0,25.0,181,0.9512195121951219,41
24,3,22.024390243902438,3.0,80.85955538956995,0.0,511.0,903,0.8536585365853658,41
24,4,4.536585365853658,2.0,9.892341361304021,0.0,60.0,186,0.8292682926829268,41
24,5,2.2439024390243905,2.0,1.8183413482552002,0.0,8.0,92,0.8048780487804879,41
24,6,10.121951219512194,2.0,45.298034804705956,0.0,296.0,415,0.8780487804878049,41
24,7,193.85365853658536,3.0,483.0479732260913,0.0,2306.0,7948,0.926829268292683,41
