Spikes,Mean Firing Rate,Mean Inter-Spike interval,Median Inter-Spike interval,Ratio median ISI over mean ISI,Inter-spike interval variance,Coefficient of variation_ISI,Partial Autocorrelaction Function ISI,Bursts,Mean Burst Rate,Mean Burst Length,Burst Length Variance,Burst Length Coefficient of Variation,Mean Inter-Burst Interval,Variance Inter-Burst Interval,Coefficient of Variation IBI,Partial Autocorrelation Function IBI,Mean Intra-Burst Firing Rate,Mean Spikes per Burst,Mean Absolute Deviation Spikes per Burst,Isolated Spikes,Mean Absolute Spike Amplitude,Median Absolute Spike Amplitude,Coefficient of Variation Absolute Spike Amplitude,Network Bursts,Mean Network Burst Duration,Mean Network Burst Core Duration,Coefficient of Variation Network Burst Core Duration,Network Inter-Burst Interval,Partial Autocorrelation Function NIBI,Network Burst to Network Burst Core ratio,NIBI Variance,Coefficient of Variation NIBI,Mean Spikes per Network Burst,Network Burst Firing Rate,Network Burst ISI,Portion of Spikes in Network Bursts,Portion of Bursts in Network Bursts,Ration Left Outer NB over NB Core,Ration Right Outer NB over NB Core,Ratio Left Outer over Right Outer NB,Participating Electrodes,Classification,data_source
65.0,0.2168473728106755,4.290012698412699,0.68719999999999,0.1601860060354258,42.284204055407024,1.5157602100571357,-0.2946623274721212,0.0,0.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,7.370808507391522e-06,6.878285778763089e-06,0.2181791301277135,0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,SCA1_54,20250204_SCA1_first_test(000)_output_Features.csv
355.0,1.1843202668890744,1.7604069012916224,1.599880000000013,0.5471042597241284,5.513365773272994,2.715698030434144,0.0049564775465783,13.0,0.0433694745621351,0.8483846153846124,0.0570504625325442,0.2815378569576283,10.445929600000005,13.316049026211846,0.3493337919834053,-0.3663137998623619,28.997805196719657,23.46153846153846,2.881656804733727,0.0016366612111292,2.2347712523675107e-05,2.2604991206614375e-05,0.1635437360379649,0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,SCA1_54,20250204_SCA1_first_test(000)_output_Features.csv
396.5,1.322768974145121,1.00688606993007,0.2781199999999977,0.4763494022341185,6.240182490758324,1.5845896012070235,0.1285963669047734,3.0,0.0100083402835696,0.9253333333333346,0.1501923128888886,0.4188182960730461,38.177679999999995,288.0953685990401,0.4445888891152953,-0.4358024527257824,12.793512680815882,10.833333333333334,2.5,0.6700507614213198,7.898027769526544e-06,8.04290176348011e-06,0.1544000975999653,0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,control,20250204_SCA1_first_test(000)_output_Features.csv
59.0,0.1968306922435362,6.377828202839757,4.346400000000003,0.4773583683147722,47.673666553200974,1.2538691719087072,-0.0300720018564695,0.5,0.0016680567139282,0.3169599999999946,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,18.92983341746625,6.0,0.0,0.9310344827586208,6.174060403983172e-06,6.054161712179897e-06,0.0704734880126441,0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,control,20250204_SCA1_first_test(000)_output_Features.csv
110.0,0.3669724770642202,2.6020948148148157,0.1825599999999969,0.0701588577636012,23.493882842210148,1.8627487561577931,0.4289651091442852,3.0,0.0100083402835696,0.861653333333353,0.118273473422231,0.3991269957810194,113.68232,748.1887972416004,0.2406094456904117,-666.0,15.614707353348267,12.333333333333334,1.777777777777778,0.6636363636363636,1.014984399010257e-05,9.326536389757731e-06,0.2357957323730392,0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,SCA1_46,20250204_SCA1_first_test(000)_output_Features.csv
108.66666666666669,0.3625243258270781,4.49706918497795,2.543053333333335,0.4749162861367946,35.07851521088157,1.3245707497341404,-0.1473793394507744,1.0,0.0033361134278565,1.4531733333333428,0.8659814414222073,0.6403786920252905,111.99512,2439.2298588736,0.4409885002132235,-666.0,12.793638677335366,8.666666666666666,1.777777777777778,0.8869565217391304,8.555144653373888e-06,7.920121281527573e-06,0.1977876424324018,0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,SCA1_46,20250204_SCA1_first_test(000)_output_Features.csv
0.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,0.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,control,20250204_SCA1_first_test(000)_output_Features.csv
0.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,0.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,control,20250204_SCA1_first_test(000)_output_Features.csv
76.0,0.2535446205170976,5.402701944444445,1.4030800000000028,0.3717775913078081,145.92659780838773,1.7648160206732428,-0.088503065757823,0.0,0.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,7.431882305145266e-06,7.476523652022506e-06,0.1320469387945123,0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,SCA1_54,20250204_SCA1_first_test(000)_output_Features.csv
298.5,0.9958298582151792,2.2835972920897776,0.2336599999999915,0.2399426250907641,22.93176454414082,1.817738255145684,0.0926265663829575,7.5,0.0250208507089241,0.1026933333333381,0.0009527113955552,0.3005650154449087,20.043388571428572,24.36876203392653,0.2462893244391234,0.3421325955490059,94.54670810614816,9.266666666666667,1.386666666666667,0.7332053742802302,1.0736283052615445e-05,9.95267822438125e-06,0.183892390381105,0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,SCA1_54,20250204_SCA1_first_test(000)_output_Features.csv
201.0,0.670558798999166,3.2971643135989397,1.993526666666667,0.4318777286110122,16.957904835453977,1.5432401231935011,-0.016006765357109,7.333333333333333,0.0244648318042813,0.6975714529914542,0.079938664093214,0.3266150295353702,13.153396611764704,84.23760324509331,0.5957735698878928,0.2455926175147931,18.355558129919167,11.850427350427353,2.740485060997881,0.4108146907524823,6.2726599152473875e-06,6.142128222076546e-06,0.0871361541311327,0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,control,20250204_SCA1_first_test(000)_output_Features.csv
