well,electrode,mean_spikes,median_spikes,std_spikes,min_spikes,max_spikes,total_spikes,frac_nonzero,n_measurements
4,10,1.3333333333333333,1.5,1.1055415967851334,0.0,3.0,8,0.6666666666666666,6
4,11,0.8333333333333334,1.0,0.6871842709362768,0.0,2.0,5,0.6666666666666666,6
4,12,1.5,1.0,1.8027756377319946,0.0,5.0,9,0.5,6
4,13,1.5,2.0,0.7637626158259734,0.0,2.0,9,0.8333333333333334,6
4,14,1.1666666666666667,1.0,0.6871842709362768,0.0,2.0,7,0.8333333333333334,6
4,15,1.0,1.0,0.816496580927726,0.0,2.0,6,0.6666666666666666,6
4,16,2.0,2.0,1.4142135623730951,0.0,4.0,12,0.8333333333333334,6
5,1,0.6666666666666666,1.0,0.4714045207910317,0.0,1.0,4,0.6666666666666666,6
5,2,0.8333333333333334,1.0,0.6871842709362768,0.0,2.0,5,0.6666666666666666,6
5,3,1.0,1.0,0.5773502691896257,0.0,2.0,6,0.8333333333333334,6
5,4,2.1666666666666665,2.0,1.3437096247164249,1.0,5.0,13,1.0,6
5,5,1.8333333333333333,1.5,1.3437096247164249,0.0,4.0,11,0.8333333333333334,6
5,6,2.5,2.0,1.118033988749895,1.0,4.0,15,1.0,6
5,7,1.3333333333333333,1.0,0.9428090415820634,0.0,3.0,8,0.8333333333333334,6
5,8,1.5,1.0,0.7637626158259734,1.0,3.0,9,1.0,6
5,9,1.0,0.5,1.1547005383792515,0.0,3.0,6,0.5,6
5,10,1.8333333333333333,2.0,0.8975274678557507,0.0,3.0,11,0.8333333333333334,6
5,11,1.5,1.0,0.7637626158259734,1.0,3.0,9,1.0,6
5,12,1.8333333333333333,1.5,1.863389981249825,0.0,4.0,11,0.5,6
5,13,1.0,1.0,1.0,0.0,3.0,6,0.6666666666666666,6
5,14,1.8333333333333333,1.5,0.8975274678557508,1.0,3.0,11,1.0,6
5,15,1.0,1.0,1.0,0.0,3.0,6,0.6666666666666666,6
5,16,2.3333333333333335,2.0,1.3743685418725535,1.0,4.0,14,1.0,6
6,1,0.8333333333333334,0.5,0.8975274678557507,0.0,2.0,5,0.5,6
6,2,1.1666666666666667,1.0,1.0671873729054748,0.0,3.0,7,0.6666666666666666,6
6,3,2.5,3.0,1.5,0.0,4.0,15,0.8333333333333334,6
6,4,1.3333333333333333,1.5,0.74535599249993,0.0,2.0,8,0.8333333333333334,6
6,5,2.5,1.0,2.753785273643051,0.0,8.0,15,0.8333333333333334,6
6,6,1.6666666666666667,1.5,1.1055415967851332,0.0,3.0,10,0.8333333333333334,6
6,7,1.6666666666666667,1.5,0.7453559924999299,1.0,3.0,10,1.0,6
6,8,1.3333333333333333,1.0,0.4714045207910317,1.0,2.0,8,1.0,6
6,9,1.8333333333333333,1.5,1.0671873729054748,1.0,4.0,11,1.0,6
6,10,2.1666666666666665,2.0,1.2133516482134197,1.0,4.0,13,1.0,6
6,11,2.6666666666666665,2.0,1.7950549357115015,1.0,5.0,16,1.0,6
6,12,2.0,1.5,1.5275252316519468,0.0,4.0,12,0.8333333333333334,6
6,13,0.6666666666666666,0.5,0.74535599249993,0.0,2.0,4,0.5,6
6,14,1.5,2.0,1.118033988749895,0.0,3.0,9,0.6666666666666666,6
6,15,1.0,1.0,0.816496580927726,0.0,2.0,6,0.6666666666666666,6
6,16,0.8333333333333334,1.0,0.37267799624996495,0.0,1.0,5,0.8333333333333334,6
7,1,3.1666666666666665,2.0,3.3374973990834644,0.0,10.0,19,0.8333333333333334,6
7,2,1.1666666666666667,1.5,0.8975274678557507,0.0,2.0,7,0.6666666666666666,6
7,3,2.1666666666666665,1.5,1.4624940645653537,1.0,5.0,13,1.0,6
7,4,1.0,1.0,0.5773502691896257,0.0,2.0,6,0.8333333333333334,6
7,5,3.3333333333333335,2.0,3.681787005729087,0.0,11.0,20,0.8333333333333334,6
7,6,1.5,1.0,1.2583057392117916,0.0,4.0,9,0.8333333333333334,6
7,7,1.8333333333333333,2.0,0.8975274678557507,0.0,3.0,11,0.8333333333333334,6
7,8,4.0,1.5,6.3508529610858835,0.0,18.0,24,0.6666666666666666,6
7,9,1.0,1.0,0.5773502691896257,0.0,2.0,6,0.8333333333333334,6
7,10,2.0,2.0,1.5275252316519468,0.0,5.0,12,0.8333333333333334,6
7,11,1.6666666666666667,1.0,1.1055415967851332,1.0,4.0,10,1.0,6
7,12,20.333333333333332,10.0,26.84316590038432,3.0,80.0,122,1.0,6
7,13,1.1666666666666667,1.0,0.6871842709362768,0.0,2.0,7,0.8333333333333334,6
7,14,1.3333333333333333,1.0,0.9428090415820634,0.0,3.0,8,0.8333333333333334,6
7,15,43.333333333333336,30.0,29.204261485079346,16.0,90.0,260,1.0,6
7,16,1.3333333333333333,1.0,0.9428090415820632,0.0,3.0,8,0.8333333333333334,6
8,1,3.5,2.0,2.753785273643051,1.0,9.0,21,1.0,6
8,2,0.8333333333333334,1.0,0.6871842709362768,0.0,2.0,5,0.6666666666666666,6
8,3,4.166666666666667,3.0,3.531603350069515,1.0,11.0,25,1.0,6
8,4,0.3333333333333333,0.0,0.4714045207910317,0.0,1.0,2,0.3333333333333333,6
8,5,1.5,1.0,1.8027756377319946,0.0,5.0,9,0.5,6
8,6,1.8333333333333333,1.5,0.8975274678557508,1.0,3.0,11,1.0,6
8,7,1.3333333333333333,1.0,0.9428090415820634,0.0,3.0,8,0.8333333333333334,6
8,8,2.5,2.0,1.2583057392117916,1.0,5.0,15,1.0,6
8,9,1.5,1.0,0.7637626158259734,1.0,3.0,9,1.0,6
8,10,2.0,1.5,2.3804761428476167,0.0,7.0,12,0.6666666666666666,6
8,11,0.8333333333333334,0.5,0.8975274678557507,0.0,2.0,5,0.5,6
8,12,4.0,1.0,5.8594652770823155,1.0,17.0,24,1.0,6
8,13,1.3333333333333333,1.0,0.9428090415820634,0.0,3.0,8,0.8333333333333334,6
8,14,1.3333333333333333,1.5,1.1055415967851334,0.0,3.0,8,0.6666666666666666,6
8,15,1.1666666666666667,1.0,1.0671873729054748,0.0,3.0,7,0.6666666666666666,6
8,16,1.5,1.0,1.2583057392117916,0.0,4.0,9,0.8333333333333334,6
9,1,1.5,1.0,1.5,0.0,4.0,9,0.6666666666666666,6
9,2,1.3333333333333333,1.0,0.9428090415820634,0.0,3.0,8,0.8333333333333334,6
9,3,1.3333333333333333,0.5,1.5986105077709065,0.0,4.0,8,0.5,6
9,4,5.333333333333333,6.0,2.2852182001336816,1.0,8.0,32,1.0,6
9,5,1.0,0.5,1.4142135623730951,0.0,4.0,6,0.5,6
9,6,1.5,2.0,0.7637626158259734,0.0,2.0,9,0.8333333333333334,6
9,7,7.333333333333333,2.0,8.59586463881842,1.0,23.0,44,1.0,6
9,8,1.1666666666666667,1.0,0.8975274678557507,0.0,3.0,7,0.8333333333333334,6
9,9,1.1666666666666667,1.0,0.6871842709362768,0.0,2.0,7,0.8333333333333334,6
9,10,2.1666666666666665,2.0,1.0671873729054748,1.0,4.0,13,1.0,6
9,11,1.3333333333333333,1.5,1.1055415967851334,0.0,3.0,8,0.6666666666666666,6
9,12,2.1666666666666665,3.0,1.5723301886761005,0.0,4.0,13,0.6666666666666666,6
9,13,2.8333333333333335,1.5,2.852873794770615,1.0,9.0,17,1.0,6
9,14,2.1666666666666665,2.5,1.3437096247164249,0.0,4.0,13,0.8333333333333334,6
9,15,0.6666666666666666,0.0,1.49071198499986,0.0,4.0,4,0.16666666666666666,6
9,16,1.8333333333333333,2.0,1.462494064565354,0.0,4.0,11,0.6666666666666666,6
10,1,1.5,0.5,2.140872096444188,0.0,6.0,9,0.5,6
10,2,0.6666666666666666,1.0,0.4714045207910317,0.0,1.0,4,0.6666666666666666,6
10,3,1.1666666666666667,1.0,0.6871842709362768,0.0,2.0,7,0.8333333333333334,6
10,4,1.8333333333333333,2.0,0.8975274678557507,0.0,3.0,11,0.8333333333333334,6
10,5,2.0,2.0,0.5773502691896257,1.0,3.0,12,1.0,6
10,6,1.6666666666666667,2.0,0.9428090415820634,0.0,3.0,10,0.8333333333333334,6
10,7,0.8333333333333334,1.0,0.6871842709362768,0.0,2.0,5,0.6666666666666666,6
10,8,1.6666666666666667,1.5,1.247219128924647,0.0,4.0,10,0.8333333333333334,6
10,9,1.3333333333333333,1.0,0.9428090415820634,0.0,3.0,8,0.8333333333333334,6
10,10,0.8333333333333334,1.0,0.6871842709362768,0.0,2.0,5,0.6666666666666666,6
10,11,2.1666666666666665,2.0,0.6871842709362768,1.0,3.0,13,1.0,6
10,12,2.1666666666666665,2.0,1.0671873729054748,1.0,4.0,13,1.0,6
10,13,2.0,2.0,0.816496580927726,1.0,3.0,12,1.0,6
10,14,1.5,1.5,0.9574271077563381,0.0,3.0,9,0.8333333333333334,6
10,15,2.1666666666666665,2.0,1.0671873729054748,1.0,4.0,13,1.0,6
10,16,1.5,1.0,2.0615528128088303,0.0,6.0,9,0.6666666666666666,6
11,1,1.3333333333333333,1.0,0.9428090415820634,0.0,3.0,8,0.8333333333333334,6
11,2,2.1666666666666665,2.0,0.6871842709362768,1.0,3.0,13,1.0,6
11,3,1.0,1.0,0.816496580927726,0.0,2.0,6,0.6666666666666666,6
11,4,2.1666666666666665,2.0,1.9507833184532706,0.0,5.0,13,0.6666666666666666,6
11,5,0.6666666666666666,1.0,0.4714045207910317,0.0,1.0,4,0.6666666666666666,6
