well,electrode,total_measurements,inactive_count,fraction_inactive,inactive_measurements,always_inactive
20,10,6,1,0.16666666666666666,2,0
20,11,6,2,0.3333333333333333,"1,4",0
20,12,6,1,0.16666666666666666,6,0
20,13,6,2,0.3333333333333333,"2,6",0
20,14,6,2,0.3333333333333333,"3,4",0
20,15,6,0,0.0,,0
20,16,6,2,0.3333333333333333,"2,6",0
21,1,6,3,0.5,"2,3,6",0
21,2,6,1,0.16666666666666666,3,0
21,3,6,2,0.3333333333333333,"1,3",0
21,4,6,1,0.16666666666666666,6,0
21,5,6,0,0.0,,0
21,6,6,0,0.0,,0
21,7,6,0,0.0,,0
21,8,6,2,0.3333333333333333,"2,3",0
21,9,6,0,0.0,,0
21,10,6,2,0.3333333333333333,"2,3",0
21,11,6,1,0.16666666666666666,2,0
21,12,6,0,0.0,,0
21,13,6,0,0.0,,0
21,14,6,1,0.16666666666666666,3,0
21,15,6,3,0.5,"1,3,4",0
21,16,6,3,0.5,"3,4,5",0
22,1,6,1,0.16666666666666666,3,0
22,2,6,1,0.16666666666666666,5,0
22,3,6,0,0.0,,0
22,4,6,0,0.0,,0
22,5,6,1,0.16666666666666666,4,0
22,6,6,0,0.0,,0
22,7,6,0,0.0,,0
22,8,6,0,0.0,,0
22,9,6,2,0.3333333333333333,"3,4",0
22,10,6,0,0.0,,0
22,11,6,1,0.16666666666666666,6,0
22,12,6,1,0.16666666666666666,4,0
22,13,6,0,0.0,,0
22,14,6,1,0.16666666666666666,1,0
22,15,6,0,0.0,,0
22,16,6,1,0.16666666666666666,2,0
23,1,6,0,0.0,,0
23,2,6,0,0.0,,0
23,3,6,0,0.0,,0
23,4,6,1,0.16666666666666666,3,0
23,5,6,0,0.0,,0
23,6,6,2,0.3333333333333333,"2,4",0
23,7,6,2,0.3333333333333333,"2,5",0
23,8,6,2,0.3333333333333333,"2,4",0
23,9,6,0,0.0,,0
23,10,6,0,0.0,,0
23,11,6,1,0.16666666666666666,4,0
23,12,6,0,0.0,,0
23,13,6,0,0.0,,0
23,14,6,1,0.16666666666666666,4,0
23,15,6,0,0.0,,0
23,16,6,0,0.0,,0
24,1,6,0,0.0,,0
24,2,6,0,0.0,,0
24,3,6,3,0.5,"1,2,3",0
24,4,6,0,0.0,,0
24,5,6,2,0.3333333333333333,"4,5",0
24,6,6,2,0.3333333333333333,"4,5",0
24,7,6,0,0.0,,0
24,8,6,2,0.3333333333333333,"1,4",0
24,9,6,1,0.16666666666666666,4,0
24,10,6,2,0.3333333333333333,"1,4",0
24,11,6,0,0.0,,0
24,12,6,1,0.16666666666666666,1,0
24,13,6,0,0.0,,0
24,14,6,2,0.3333333333333333,"1,3",0
24,15,6,0,0.0,,0
24,16,6,1,0.16666666666666666,4,0
