id,date,well,Spikes_total,Bursts_total
5,2025-01-31,9,1.75,0.0
5,2025-01-31,10,8.25,0.0
5,2025-01-31,11,3.0,0.0
5,2025-01-31,12,4.375,0.0
5,2025-01-31,13,10.8125,0.0
5,2025-01-31,14,61.9375,2.0625
5,2025-01-31,15,24.6875,0.9375
5,2025-01-31,16,2.1875,0.0
5,2025-01-31,17,3.4375,0.0
5,2025-01-31,18,8.9375,0.0
5,2025-01-31,19,17.4375,0.375
5,2025-01-31,20,25.3125,1.125
5,2025-01-31,21,19.9375,0.0
5,2025-01-31,22,41.4375,2.375
5,2025-01-31,23,49.625,5.25
5,2025-01-31,24,21.5625,2.0
5,2025-01-31,25,7.875,0.0
5,2025-01-31,26,27.1875,1.125
5,2025-01-31,27,3.5,0.0
5,2025-01-31,28,18.75,0.0
5,2025-01-31,29,2.9375,0.0
5,2025-01-31,30,17.5625,0.0
5,2025-01-31,31,159.0,2.125
5,2025-01-31,32,13.75,0.0625
5,2025-01-31,33,5.9375,0.0
5,2025-01-31,34,16.0625,0.8125
5,2025-01-31,35,15.5625,0.0
5,2025-01-31,36,2.4375,0.0
5,2025-01-31,37,68.875,5.75
5,2025-01-31,38,8.125,0.0
5,2025-01-31,39,3.875,0.0
5,2025-01-31,40,4.0625,0.0
5,2025-01-31,41,7.5625,0.0
5,2025-01-31,42,5.5625,0.0
5,2025-01-31,43,24.0,0.625
5,2025-01-31,44,6.5625,0.0
5,2025-01-31,45,9.75,0.0
5,2025-01-31,46,2.625,0.0
5,2025-01-31,47,5.375,0.0625
5,2025-01-31,48,37.3125,2.9375
6,2025-02-03,1,2.1875,0.0
6,2025-02-03,2,5.0,0.0
6,2025-02-03,3,3.25,0.0
6,2025-02-03,4,4.3125,0.0
6,2025-02-03,5,32.625,0.25
6,2025-02-03,6,10.1875,0.0
6,2025-02-03,7,11.9375,0.0
6,2025-02-03,8,2.125,0.0
6,2025-02-03,9,8.3125,0.0
6,2025-02-03,10,7.875,0.0
6,2025-02-03,11,15.3125,0.0
6,2025-02-03,12,22.25,0.875
6,2025-02-03,13,34.1875,1.6875
6,2025-02-03,14,91.0,4.6875
6,2025-02-03,15,4.5,0.0
6,2025-02-03,16,2.5625,0.0
6,2025-02-03,17,10.625,0.0
6,2025-02-03,18,33.6875,0.4375
6,2025-02-03,19,30.875,1.625
6,2025-02-03,20,15.625,1.0
6,2025-02-03,21,14.5,0.0625
6,2025-02-03,22,27.5,1.5
6,2025-02-03,23,20.375,0.0
6,2025-02-03,24,41.625,0.0625
6,2025-02-03,25,15.4375,1.0625
6,2025-02-03,26,16.0625,0.0625
6,2025-02-03,27,2.0,0.0
6,2025-02-03,28,2.9375,0.0
6,2025-02-03,29,16.4375,0.0
6,2025-02-03,30,64.5625,0.0
6,2025-02-03,31,35.0,0.5
6,2025-02-03,32,46.0625,2.5
6,2025-02-03,33,2.625,0.0
6,2025-02-03,34,14.8125,0.5
6,2025-02-03,35,4.9375,0.125
6,2025-02-03,36,51.125,2.25
6,2025-02-03,37,14.6875,0.0
6,2025-02-03,38,11.375,0.0
6,2025-02-03,39,33.75,1.75
6,2025-02-03,40,25.5,2.4375
6,2025-02-03,41,17.5625,0.4375
6,2025-02-03,42,38.1875,0.5
6,2025-02-03,43,5.0,0.0
6,2025-02-03,44,13.625,0.0625
6,2025-02-03,45,4.875,0.0
6,2025-02-03,46,13.9375,0.0625
6,2025-02-03,47,18.0,0.75
6,2025-02-03,48,27.3125,0.5625
7,2025-02-04,1,2.0625,0.0
7,2025-02-04,2,18.0625,0.25
7,2025-02-04,3,6.8125,0.0
7,2025-02-04,4,5.375,0.1875
7,2025-02-04,5,30.625,1.25
7,2025-02-04,6,18.6875,0.0
7,2025-02-04,7,4.5625,0.0
7,2025-02-04,8,2.75,0.0
7,2025-02-04,9,19.75,1.0625
7,2025-02-04,10,2.375,0.0
7,2025-02-04,11,14.5,0.0
7,2025-02-04,12,27.6875,0.3125
7,2025-02-04,13,65.75,3.9375
7,2025-02-04,14,96.625,4.5
7,2025-02-04,15,14.1875,0.0
7,2025-02-04,16,1.8125,0.0
7,2025-02-04,17,10.4375,0.25
7,2025-02-04,18,35.5,0.5625
7,2025-02-04,19,7.0,0.1875
7,2025-02-04,20,12.375,0.8125
7,2025-02-04,21,8.625,0.0
7,2025-02-04,22,48.4375,1.625
7,2025-02-04,23,51.0,0.8125
7,2025-02-04,24,7.8125,0.0
7,2025-02-04,25,9.9375,0.25
7,2025-02-04,26,22.0,0.375
7,2025-02-04,27,3.1875,0.0
7,2025-02-04,28,2.3125,0.0
7,2025-02-04,29,12.1875,0.0
7,2025-02-04,30,39.4375,1.0
7,2025-02-04,31,76.8125,3.0625
7,2025-02-04,32,67.625,1.0625
7,2025-02-04,33,2.25,0.0
7,2025-02-04,34,3.8125,0.0
7,2025-02-04,35,5.875,0.0
7,2025-02-04,36,2.6875,0.0
7,2025-02-04,37,46.125,2.625
7,2025-02-04,38,18.1875,0.0
7,2025-02-04,39,46.25,4.1875
7,2025-02-04,40,13.0,0.625
7,2025-02-04,41,8.5,0.125
7,2025-02-04,42,5.125,0.0
7,2025-02-04,43,3.5,0.0
7,2025-02-04,44,7.1875,0.0
7,2025-02-04,45,0.0,0.0
7,2025-02-04,46,0.0,0.0
7,2025-02-04,47,0.0,0.0
7,2025-02-04,48,0.0,0.0
8,2025-02-05,1,3.125,0.125
8,2025-02-05,2,2.5625,0.0
8,2025-02-05,3,2.0625,0.0
8,2025-02-05,4,6.625,0.0
8,2025-02-05,5,35.625,1.3125
8,2025-02-05,6,2.8125,0.0
8,2025-02-05,7,2.25,0.0
8,2025-02-05,8,2.25,0.0
8,2025-02-05,9,2.5,0.0
8,2025-02-05,10,12.1875,0.0
8,2025-02-05,11,24.8125,1.5
8,2025-02-05,12,25.125,0.3125
8,2025-02-05,13,59.1875,3.3125
8,2025-02-05,14,76.9375,0.9375
8,2025-02-05,15,28.1875,1.5625
8,2025-02-05,16,2.9375,0.0
8,2025-02-05,17,13.4375,0.0625
8,2025-02-05,18,18.125,0.3125
8,2025-02-05,19,5.0625,0.0
8,2025-02-05,20,9.75,0.0625
8,2025-02-05,21,11.125,0.0
8,2025-02-05,22,72.625,2.25
8,2025-02-05,23,53.375,0.25
8,2025-02-05,24,6.5625,0.0
8,2025-02-05,25,2.25,0.0
8,2025-02-05,26,3.4375,0.0
8,2025-02-05,27,22.125,0.5625
8,2025-02-05,28,2.3125,0.0
8,2025-02-05,29,9.0625,0.0
8,2025-02-05,30,24.625,1.25
8,2025-02-05,31,55.1875,2.125
8,2025-02-05,32,5.375,0.0
8,2025-02-05,33,2.0625,0.0
8,2025-02-05,34,3.4375,0.0
8,2025-02-05,35,2.3125,0.0
8,2025-02-05,36,3.9375,0.0
8,2025-02-05,37,72.375,2.6875
8,2025-02-05,38,5.375,0.0
8,2025-02-05,39,66.5625,3.25
8,2025-02-05,40,12.1875,0.125
8,2025-02-05,41,68.0,1.9375
8,2025-02-05,42,11.5,0.0
8,2025-02-05,43,2.75,0.0
8,2025-02-05,44,30.5,1.875
8,2025-02-05,45,39.375,1.5625
8,2025-02-05,46,2.8125,0.0
8,2025-02-05,47,2.75,0.0
8,2025-02-05,48,22.1875,0.0
9,2025-02-06,1,10.875,0.0625
9,2025-02-06,2,2.625,0.0
9,2025-02-06,3,32.8125,1.4375
9,2025-02-06,4,8.25,0.5625
9,2025-02-06,5,30.125,0.375
9,2025-02-06,6,68.375,3.1875
9,2025-02-06,7,27.5,1.875
9,2025-02-06,8,2.25,0.0
9,2025-02-06,9,2.875,0.0
9,2025-02-06,10,27.6875,1.6875
9,2025-02-06,11,31.5625,0.8125
9,2025-02-06,12,11.75,0.0
9,2025-02-06,13,94.25,3.0625
9,2025-02-06,14,140.9375,5.125
9,2025-02-06,15,38.1875,1.5
9,2025-02-06,16,4.0,0.0
9,2025-02-06,17,38.625,1.375
9,2025-02-06,18,5.0625,0.0
9,2025-02-06,19,31.625,1.625
9,2025-02-06,20,10.9375,0.0625
9,2025-02-06,21,9.8125,0.0
9,2025-02-06,22,44.875,1.625
9,2025-02-06,23,68.6875,0.0
9,2025-02-06,24,4.3125,0.0
9,2025-02-06,25,1.625,0.0
9,2025-02-06,26,2.875,0.0
9,2025-02-06,27,9.9375,0.0625
9,2025-02-06,28,6.1875,0.1875
9,2025-02-06,29,8.0625,0.125
9,2025-02-06,30,8.4375,0.0
9,2025-02-06,31,70.5625,5.0625
9,2025-02-06,32,8.0625,0.0
9,2025-02-06,33,2.5625,0.0
9,2025-02-06,34,5.0625,0.0625
9,2025-02-06,35,2.5625,0.0
9,2025-02-06,36,27.0,0.6875
9,2025-02-06,37,19.375,0.375
9,2025-02-06,38,16.375,0.125
9,2025-02-06,39,127.1875,8.125
9,2025-02-06,40,20.75,1.25
9,2025-02-06,41,29.625,0.9375
9,2025-02-06,42,9.6875,0.0
9,2025-02-06,43,21.5625,0.625
9,2025-02-06,44,45.9375,2.25
9,2025-02-06,45,46.6875,2.0
9,2025-02-06,46,13.4375,0.0
9,2025-02-06,47,14.6875,0.0
9,2025-02-06,48,9.8125,0.0
10,2025-02-07,1,28.375,0.4375
10,2025-02-07,2,2.1875,0.0
10,2025-02-07,3,38.9375,0.0
10,2025-02-07,4,3.1875,0.0
10,2025-02-07,5,30.25,0.25
10,2025-02-07,6,22.875,0.0
10,2025-02-07,7,18.3125,0.0
10,2025-02-07,8,2.0625,0.0
10,2025-02-07,9,2.125,0.0
10,2025-02-07,10,5.25,0.0625
10,2025-02-07,11,54.875,4.4375
10,2025-02-07,12,28.1875,1.3125
10,2025-02-07,13,135.5625,0.5625
10,2025-02-07,14,93.625,1.625
10,2025-02-07,15,22.125,0.8125
10,2025-02-07,16,2.5625,0.0
10,2025-02-07,17,18.0625,0.0625
10,2025-02-07,18,5.0,0.0
10,2025-02-07,19,21.8125,0.9375
10,2025-02-07,20,3.125,0.0
10,2025-02-07,21,9.3125,0.0
10,2025-02-07,22,76.0625,1.4375
10,2025-02-07,23,17.375,0.0625
10,2025-02-07,24,2.6875,0.0
10,2025-02-07,25,3.8125,0.0
10,2025-02-07,26,2.5,0.0
10,2025-02-07,27,5.75,0.0
10,2025-02-07,28,29.1875,1.8125
10,2025-02-07,29,5.875,0.0
10,2025-02-07,30,107.125,0.9375
10,2025-02-07,31,113.25,3.0625
10,2025-02-07,32,6.5,0.0
10,2025-02-07,33,2.1875,0.0
10,2025-02-07,34,11.3125,0.3125
10,2025-02-07,35,2.375,0.0
10,2025-02-07,36,25.9375,0.5
10,2025-02-07,37,57.625,0.9375
10,2025-02-07,38,28.8125,0.1875
10,2025-02-07,39,61.0,1.1875
10,2025-02-07,40,7.5,0.0
10,2025-02-07,41,52.875,1.0625
10,2025-02-07,42,57.0,0.75
10,2025-02-07,43,48.5,0.75
10,2025-02-07,44,64.5,2.25
10,2025-02-07,45,106.875,5.1875
10,2025-02-07,46,12.9375,0.1875
10,2025-02-07,47,2.75,0.0
10,2025-02-07,48,16.75,0.0
11,2025-02-11,1,3.125,0.0
11,2025-02-11,2,3.125,0.0
11,2025-02-11,3,14.0625,0.0
11,2025-02-11,4,2.1875,0.0
11,2025-02-11,5,27.6875,0.125
11,2025-02-11,6,108.9375,0.0
11,2025-02-11,7,34.25,0.625
11,2025-02-11,8,34.1875,0.9375
11,2025-02-11,9,2.0625,0.0
11,2025-02-11,10,9.0625,0.5625
11,2025-02-11,11,2.0625,0.0
11,2025-02-11,12,4.375,0.0
