well,electrode,n_measurements,spikes_n_nonzero,spikes_fraction_zero,spikes_total,spikes_mean,spikes_median,spikes_std,spikes_min,spikes_max
7,14,41,38,0.07317073170731707,1280.0,31.21951219512195,3.0,78.06327952216776,1.0,370.0
7,15,41,35,0.14634146341463414,397.0,9.682926829268293,2.0,20.954043791581427,1.0,101.0
7,16,41,35,0.14634146341463414,524.0,12.78048780487805,2.0,44.03663940125424,1.0,275.0
8,1,41,36,0.12195121951219512,1205.0,29.390243902439025,3.0,96.91358987489332,1.0,544.0
8,2,41,38,0.07317073170731707,866.0,21.121951219512194,3.0,63.4906273090569,1.0,376.0
8,3,41,37,0.0975609756097561,1733.0,42.26829268292683,3.0,134.70226879868133,1.0,636.0
8,4,41,38,0.07317073170731707,94.0,2.292682926829268,2.0,2.003046460257779,1.0,11.0
8,5,41,36,0.12195121951219512,264.0,6.439024390243903,2.0,23.45639441654216,1.0,150.0
8,6,41,37,0.0975609756097561,818.0,19.951219512195124,3.0,98.41619562336072,1.0,633.0
8,7,41,39,0.04878048780487805,46961.0,1145.3902439024391,1170.0,986.3390106360181,1.0,3360.0
8,8,41,38,0.07317073170731707,139.0,3.3902439024390243,2.0,6.192245347127678,1.0,41.0
8,9,41,38,0.07317073170731707,107.0,2.6097560975609757,2.0,1.8691983412747804,1.0,9.0
8,10,41,33,0.1951219512195122,270.0,6.585365853658536,3.0,17.603942185993592,1.0,95.0
8,11,41,37,0.0975609756097561,1127.0,27.48780487804878,3.0,65.09344127914099,1.0,309.0
8,12,41,35,0.14634146341463414,111.0,2.707317073170732,2.0,2.82173618929042,1.0,17.0
8,13,41,36,0.12195121951219512,88.0,2.1463414634146343,2.0,1.6364744973533212,1.0,6.0
8,14,41,35,0.14634146341463414,2319.0,56.5609756097561,3.0,194.5460162507174,1.0,1135.0
8,15,41,36,0.12195121951219512,660.0,16.097560975609756,2.0,66.4017337416911,1.0,381.0
8,16,41,33,0.1951219512195122,81.0,1.975609756097561,2.0,1.5730194671085411,1.0,6.0
9,1,41,37,0.0975609756097561,13390.0,326.5853658536585,3.0,744.9302643741144,1.0,2776.0
9,2,41,34,0.17073170731707318,578.0,14.097560975609756,3.0,61.12765531167083,1.0,394.0
9,3,41,39,0.04878048780487805,3064.0,74.73170731707317,3.0,169.57506072389356,1.0,656.0
9,4,41,37,0.0975609756097561,88.0,2.1463414634146343,2.0,1.3885419620911013,1.0,5.0
9,5,41,37,0.0975609756097561,84.0,2.048780487804878,2.0,1.302904822160758,1.0,4.0
9,6,41,35,0.14634146341463414,80.0,1.951219512195122,2.0,1.482417274457417,1.0,6.0
9,7,41,37,0.0975609756097561,152.0,3.707317073170732,2.0,9.165816664212262,1.0,60.0
9,8,41,38,0.07317073170731707,96.0,2.341463414634146,2.0,1.7408296312040556,1.0,7.0
9,9,41,36,0.12195121951219512,88.0,2.1463414634146343,2.0,1.4926649927186626,1.0,6.0
9,10,41,32,0.21951219512195122,93.0,2.268292682926829,1.0,3.660767612427088,1.0,23.0
9,11,41,35,0.14634146341463414,236.0,5.7560975609756095,2.0,22.66139943583017,1.0,147.0
9,12,41,34,0.17073170731707318,98.0,2.3902439024390243,2.0,2.709963549390358,1.0,17.0
9,13,41,35,0.14634146341463414,85.0,2.073170731707317,2.0,1.27260056385417,1.0,5.0
9,14,41,39,0.04878048780487805,918.0,22.390243902439025,3.0,62.71119439493259,1.0,291.0
9,15,41,38,0.07317073170731707,109.0,2.658536585365854,2.0,2.7983008781898433,1.0,18.0
9,16,41,37,0.0975609756097561,128.0,3.1219512195121952,2.0,4.142433596035183,1.0,27.0
10,1,41,37,0.0975609756097561,365.0,8.902439024390244,2.0,44.37274212737409,1.0,286.0
10,2,41,37,0.0975609756097561,13917.0,339.4390243902439,3.0,675.0299641045754,1.0,2799.0
10,3,41,37,0.0975609756097561,18715.0,456.4634146341463,6.0,943.3981422909676,1.0,3616.0
10,4,41,37,0.0975609756097561,121.0,2.951219512195122,3.0,2.6734922808210526,1.0,15.0
10,5,41,36,0.12195121951219512,3101.0,75.63414634146342,2.0,262.8020886615592,1.0,1279.0
10,6,41,35,0.14634146341463414,4168.0,101.65853658536585,4.0,237.38171894188667,1.0,966.0
10,7,41,40,0.024390243902439025,97.0,2.3658536585365852,2.0,1.512549132441251,1.0,6.0
10,8,41,33,0.1951219512195122,480.0,11.707317073170731,2.0,48.711520147927544,1.0,313.0
10,9,41,37,0.0975609756097561,162.0,3.951219512195122,2.0,9.478795333564795,1.0,62.0
10,10,41,37,0.0975609756097561,2119.0,51.68292682926829,2.0,169.34999837974465,1.0,831.0
10,11,41,37,0.0975609756097561,84.0,2.048780487804878,2.0,2.529340027677132,1.0,16.0
10,12,41,33,0.1951219512195122,247.0,6.024390243902439,2.0,22.12971735571655,1.0,143.0
10,13,41,36,0.12195121951219512,222.0,5.414634146341464,3.0,13.095754292434052,1.0,79.0
10,14,41,34,0.17073170731707318,2276.0,55.51219512195122,2.0,202.15268016417932,1.0,1036.0
10,15,41,34,0.17073170731707318,81.0,1.975609756097561,2.0,1.2142447215872254,1.0,4.0
10,16,41,35,0.14634146341463414,183.0,4.463414634146342,2.0,14.145843136723258,1.0,92.0
11,1,41,40,0.024390243902439025,3191.0,77.82926829268293,4.0,170.71788167017309,1.0,697.0
11,2,41,39,0.04878048780487805,6203.0,151.29268292682926,24.0,243.8405466593322,1.0,1084.0
11,3,41,35,0.14634146341463414,2230.0,54.390243902439025,3.0,161.91122228690335,1.0,659.0
11,4,41,36,0.12195121951219512,86.0,2.097560975609756,2.0,1.4107600442453083,1.0,5.0
11,5,41,35,0.14634146341463414,239.0,5.829268292682927,2.0,23.134284556718402,1.0,150.0
11,6,41,36,0.12195121951219512,100.0,2.4390243902439024,2.0,1.8847915068755599,1.0,9.0
11,7,41,37,0.0975609756097561,234.0,5.7073170731707314,2.0,13.955722665700664,1.0,73.0
11,8,41,36,0.12195121951219512,835.0,20.365853658536587,3.0,78.42504577542846,1.0,501.0
11,9,41,35,0.14634146341463414,365.0,8.902439024390244,2.0,30.703261128134887,1.0,173.0
11,10,41,36,0.12195121951219512,86.0,2.097560975609756,2.0,1.4457675824415988,1.0,5.0
11,11,41,34,0.17073170731707318,134.0,3.268292682926829,2.0,4.242784405575556,1.0,23.0
11,12,41,38,0.07317073170731707,129.0,3.1463414634146343,2.0,3.705138159433168,1.0,24.0
11,13,41,37,0.0975609756097561,348.0,8.487804878048781,2.0,40.94577020353843,1.0,264.0
11,14,41,33,0.1951219512195122,81.0,1.975609756097561,1.0,1.7533939214855399,1.0,6.0
11,15,41,36,0.12195121951219512,163.0,3.975609756097561,2.0,6.142018417743669,1.0,33.0
11,16,41,35,0.14634146341463414,3086.0,75.26829268292683,9.0,129.2429929222942,1.0,621.0
12,1,41,35,0.14634146341463414,168.0,4.097560975609756,2.0,9.924225103374019,1.0,65.0
12,2,41,37,0.0975609756097561,363.0,8.853658536585366,2.0,23.048384949503248,1.0,119.0
12,3,41,36,0.12195121951219512,208.0,5.073170731707317,2.0,8.838524322256626,1.0,41.0
12,4,41,36,0.12195121951219512,400.0,9.75609756097561,2.0,46.689817138110996,1.0,301.0
12,5,41,38,0.07317073170731707,209.0,5.097560975609756,4.0,5.936349375031681,1.0,32.0
12,6,41,36,0.12195121951219512,32725.0,798.170731707317,67.0,1003.2762805538418,1.0,2768.0
12,7,41,38,0.07317073170731707,1028.0,25.073170731707318,2.0,87.01390413143822,1.0,521.0
12,8,41,37,0.0975609756097561,171.0,4.170731707317073,2.0,9.40718459217313,1.0,60.0
12,9,41,31,0.24390243902439024,712.0,17.365853658536587,2.0,37.25839240866477,1.0,156.0
12,10,41,39,0.04878048780487805,20798.0,507.2682926829268,75.0,767.5566436553801,1.0,2552.0
12,11,41,34,0.17073170731707318,455.0,11.097560975609756,2.0,37.02148354540157,1.0,184.0
12,12,41,34,0.17073170731707318,164.0,4.0,2.0,8.120960534321048,1.0,50.0
12,13,41,39,0.04878048780487805,620.0,15.121951219512194,3.0,47.505365550615025,1.0,291.0
12,14,41,35,0.14634146341463414,1275.0,31.097560975609756,3.0,62.998732081704944,1.0,230.0
12,15,41,35,0.14634146341463414,198.0,4.829268292682927,2.0,12.982492902028467,1.0,81.0
12,16,41,35,0.14634146341463414,88.0,2.1463414634146343,2.0,1.6056303374338083,1.0,6.0
13,1,41,39,0.04878048780487805,93456.0,2279.4146341463415,1671.0,2147.739497420599,77.0,7618.0
13,2,41,39,0.04878048780487805,5993.0,146.17073170731706,3.0,439.3051844924565,1.0,2001.0
13,3,41,38,0.07317073170731707,2538.0,61.90243902439025,4.0,133.09053401313875,1.0,623.0
13,4,41,36,0.12195121951219512,1507.0,36.75609756097561,3.0,125.76600901829653,1.0,595.0
13,5,41,37,0.0975609756097561,6997.0,170.65853658536585,4.0,387.918909680625,1.0,1648.0
13,6,41,38,0.07317073170731707,1448.0,35.31707317073171,2.0,160.34157898442783,1.0,996.0
13,7,41,37,0.0975609756097561,6512.0,158.82926829268294,5.0,318.13125455061976,1.0,1388.0
13,8,41,37,0.0975609756097561,4274.0,104.2439024390244,4.0,244.91424830824002,1.0,1319.0
13,9,41,38,0.07317073170731707,6103.0,148.85365853658536,8.0,385.54925502298727,1.0,2317.0
13,10,41,35,0.14634146341463414,878.0,21.414634146341463,2.0,96.6814293465286,1.0,609.0
13,11,41,41,0.0,1203.0,29.341463414634145,3.0,159.92054429561225,1.0,1028.0
13,12,41,35,0.14634146341463414,10611.0,258.8048780487805,3.0,652.5845240086603,1.0,2587.0
13,13,41,37,0.0975609756097561,19272.0,470.0487804878049,4.0,1406.789837737313,1.0,6838.0
