Dag,Well,Actieve electrodes ratio,Nummer actieve electrodes,Gem. Spikes per well,Bursts per well,Network bursts per well,Gem. Spike amplitude,SCA1
0317,20,0.1875,,273,7.666666666666667,0,1.8734943523090225e-05,CG
0317,21,0.625,,1019.9,25.6,0,2.059584673799637e-05,46
0317,22,0.25,,1913.25,83.5,0,3.196863169128775e-05,46
0317,23,0.25,,376.5,15,0,1.3676676893371977e-05,CG
0317,24,0,,,,0,,CG
0317,25,0.0625,,1766,44,0,2.3637331300111864e-05,54
0317,26,0,,,,0,,54
0317,27,0.0625,,140,1,0,1.3818159594438036e-05,CG
0317,28,0.0625,,1289,28,0,1.874830589300742e-05,CG
0317,29,0.5,,499.125,23.375,0,1.4410560103890581e-05,46
0317,30,0.125,,2640,0,0,2.379382864982012e-05,46
0317,31,0.125,,2570,157.5,0,3.108095215753617e-05,CG
0317,32,0.125,,1139.5,73.5,0,1.4699015235511535e-05,CG
0317,33,0,,,,0,,54
0317,34,0,,,,0,,54
0317,35,0.0625,,263,14,0,1.4436833290876598e-05,CG
0317,36,0,,,,0,,CG
0317,37,0.375,,484,8.666666666666666,0,1.3734315218323275e-05,46
0317,38,0.25,,1407.25,57.25,0,1.9966464499443112e-05,46
0317,39,0.0625,,329,0,0,1.342895973638115e-05,CG
0317,40,0,,,,0,,CG
0317,41,0.0625,,356,17,0,1.6326417005269758e-05,54
0317,42,0.0625,,97,2,0,1.3361326944352288e-05,54
0317,43,0.0625,,821,25,0,1.5277580330042125e-05,CG
0317,44,0,,,,0,,CG
0317,45,0.375,,1601.8333333333333,93.16666666666667,0,1.897393511948841e-05,46
0317,46,0.1875,,810.3333333333334,33.666666666666664,0,2.203578841476331e-05,46
0317,47,0.0625,,1328,2,0,2.300222158694882e-05,CG
0317,48,0.0625,,259,0,0,1.1685997409613593e-05,CG
0327,1,0.0625,,1038,27,0,1.5433734258513535e-05,54
0327,2,0.1875,,74,2.3333333333333335,0,6.238188847564481e-06,54
0327,3,0.1875,,399.6666666666667,1.6666666666666667,0,9.842349306198346e-06,CG
0327,4,0.0625,,763,16,0,1.0380147998723928e-05,CG
0327,5,0.0625,,74,0,0,1.5564257655297294e-05,46
0327,6,0.1875,,1318.3333333333333,0,0,1.69878074432304e-05,46
0327,7,0.1875,,439.6666666666667,0,0,9.340700537199546e-06,CG
0327,8,0.125,,782,9,0,9.981296278747977e-06,CG
0327,9,0,,,,0,,54
0327,10,0.0625,,857,23,0,1.0148220387988116e-05,54
0327,11,0.375,,274,16.5,0,6.767101054558149e-06,CG
0327,12,0.3125,,1021.2,11.2,0,9.821883664466134e-06,CG
0327,13,0.3125,,1047.6,16.8,0,1.3919281883677953e-05,46
0327,14,0.75,,1565.3333333333333,76.66666666666667,0,1.3536778315984105e-05,46
0327,15,0,,,,0,,CG
0327,16,0.0625,,162,0,0,6.6127829960490205e-06,CG
0327,17,0.0625,,131,1,0,5.958172107829722e-06,54
0327,18,0.0625,,293,16,0,6.075006698873915e-06,54
0327,19,0.25,,1078.25,23.25,0,9.35744231679198e-06,CG
0327,20,0.4375,,271.14285714285717,10.714285714285714,0,8.491179211635165e-06,CG
0327,21,0.8125,,1362.3076923076924,32.84615384615385,0,1.4644879709093537e-05,46
0327,22,0,,,,0,,46
0327,23,0.25,,1319.25,41.5,0,8.717038903741138e-06,CG
0327,24,0,,,,0,,CG
0327,25,0.0625,,1265,21,0,1.4151980761868768e-05,54
0327,26,0.0625,,44,1,0,5.939015544081242e-06,54
0327,27,0.25,,686,28,0,7.173628823616568e-06,CG
