well,electrode,n_measurements,bursts_n_nonzero,bursts_fraction_zero,bursts_total,bursts_mean,bursts_median,bursts_std,bursts_min,bursts_max
13,15,6,0,1.0,0.0,0.0,0.0,0.0,,0.0
13,16,6,0,1.0,0.0,0.0,0.0,0.0,,0.0
14,1,6,0,1.0,0.0,0.0,0.0,0.0,,0.0
14,2,6,0,1.0,0.0,0.0,0.0,0.0,,0.0
14,3,6,0,1.0,0.0,0.0,0.0,0.0,,0.0
14,4,6,0,1.0,0.0,0.0,0.0,0.0,,0.0
14,5,6,0,1.0,0.0,0.0,0.0,0.0,,0.0
14,6,6,0,1.0,0.0,0.0,0.0,0.0,,0.0
14,7,6,0,1.0,0.0,0.0,0.0,0.0,,0.0
14,8,6,0,1.0,0.0,0.0,0.0,0.0,,0.0
14,9,6,0,1.0,0.0,0.0,0.0,0.0,,0.0
14,10,6,2,0.6666666666666666,27.0,4.5,0.0,10.540398474441087,1.0,26.0
14,11,6,0,1.0,0.0,0.0,0.0,0.0,,0.0
14,12,6,0,1.0,0.0,0.0,0.0,0.0,,0.0
14,13,6,0,1.0,0.0,0.0,0.0,0.0,,0.0
14,14,6,0,1.0,0.0,0.0,0.0,0.0,,0.0
14,15,6,0,1.0,0.0,0.0,0.0,0.0,,0.0
14,16,6,0,1.0,0.0,0.0,0.0,0.0,,0.0
15,1,6,0,1.0,0.0,0.0,0.0,0.0,,0.0
15,2,6,0,1.0,0.0,0.0,0.0,0.0,,0.0
15,3,6,0,1.0,0.0,0.0,0.0,0.0,,0.0
15,4,6,0,1.0,0.0,0.0,0.0,0.0,,0.0
15,5,6,0,1.0,0.0,0.0,0.0,0.0,,0.0
15,6,6,0,1.0,0.0,0.0,0.0,0.0,,0.0
15,7,6,0,1.0,0.0,0.0,0.0,0.0,,0.0
15,8,6,0,1.0,0.0,0.0,0.0,0.0,,0.0
15,9,6,0,1.0,0.0,0.0,0.0,0.0,,0.0
15,10,6,0,1.0,0.0,0.0,0.0,0.0,,0.0
15,11,6,0,1.0,0.0,0.0,0.0,0.0,,0.0
15,12,6,0,1.0,0.0,0.0,0.0,0.0,,0.0
15,13,6,0,1.0,0.0,0.0,0.0,0.0,,0.0
15,14,6,0,1.0,0.0,0.0,0.0,0.0,,0.0
15,15,6,0,1.0,0.0,0.0,0.0,0.0,,0.0
15,16,6,0,1.0,0.0,0.0,0.0,0.0,,0.0
16,1,6,0,1.0,0.0,0.0,0.0,0.0,,0.0
16,2,6,0,1.0,0.0,0.0,0.0,0.0,,0.0
16,3,6,2,0.6666666666666666,2.0,0.3333333333333333,0.0,0.5163977794943223,1.0,1.0
16,4,6,0,1.0,0.0,0.0,0.0,0.0,,0.0
16,5,6,0,1.0,0.0,0.0,0.0,0.0,,0.0
16,6,6,0,1.0,0.0,0.0,0.0,0.0,,0.0
16,7,6,1,0.8333333333333334,19.0,3.1666666666666665,0.0,7.756717518813397,19.0,19.0
