well,electrode,total_measurements,inactive_count,fraction_inactive,inactive_measurements,always_inactive
26,5,41,8,0.1951219512195122,"1,2,4,11,18,20,23,29",0
26,6,41,6,0.14634146341463414,"1,2,20,30,34,40",0
26,7,41,3,0.07317073170731707,"1,21,24",0
26,8,41,5,0.12195121951219512,"1,2,14,33,36",0
26,9,41,8,0.1951219512195122,"1,2,3,11,27,32,33,36",0
26,10,41,7,0.17073170731707318,"1,11,13,15,38,39,41",0
26,11,41,7,0.17073170731707318,"1,2,4,6,8,10,17",0
26,12,41,4,0.0975609756097561,"1,2,23,25",0
26,13,41,6,0.14634146341463414,"1,9,12,13,16,33",0
26,14,41,8,0.1951219512195122,"1,3,6,7,8,15,34,38",0
26,15,41,5,0.12195121951219512,"2,11,24,27,40",0
26,16,41,6,0.14634146341463414,"1,2,29,30,31,36",0
27,1,41,7,0.17073170731707318,"1,7,9,16,17,29,30",0
27,2,41,9,0.21951219512195122,"1,2,16,24,26,27,31,32,37",0
27,3,41,6,0.14634146341463414,"1,2,7,13,22,26",0
27,4,41,1,0.024390243902439025,1,0
27,5,41,5,0.12195121951219512,"1,3,11,21,36",0
27,6,41,6,0.14634146341463414,"1,2,20,22,27,31",0
27,7,41,5,0.12195121951219512,"1,2,15,26,39",0
27,8,41,4,0.0975609756097561,"1,2,3,22",0
27,9,41,8,0.1951219512195122,"1,5,12,16,29,33,37,38",0
27,10,41,6,0.14634146341463414,"1,2,6,14,15,17",0
27,11,41,7,0.17073170731707318,"1,2,4,13,30,33,39",0
27,12,41,4,0.0975609756097561,"1,2,6,13",0
27,13,41,3,0.07317073170731707,"2,32,37",0
27,14,41,5,0.12195121951219512,"1,2,6,12,40",0
27,15,41,7,0.17073170731707318,"1,2,8,9,36,38,41",0
27,16,41,5,0.12195121951219512,"1,2,3,4,38",0
28,1,41,3,0.07317073170731707,"1,2,17",0
28,2,41,7,0.17073170731707318,"1,2,5,11,23,25,33",0
28,3,41,6,0.14634146341463414,"2,6,12,14,28,38",0
28,4,41,3,0.07317073170731707,"1,2,5",0
28,5,41,6,0.14634146341463414,"2,20,23,26,33,35",0
28,6,41,3,0.07317073170731707,"1,2,9",0
28,7,41,7,0.17073170731707318,"16,19,21,23,33,35,37",0
28,8,41,6,0.14634146341463414,"1,2,14,25,27,41",0
28,9,41,7,0.17073170731707318,"1,2,5,11,13,29,33",0
28,10,41,2,0.04878048780487805,"1,15",0
28,11,41,5,0.12195121951219512,"1,2,16,22,34",0
28,12,41,3,0.07317073170731707,"1,2,22",0
28,13,41,7,0.17073170731707318,"1,7,9,15,23,27,32",0
28,14,41,8,0.1951219512195122,"1,2,3,13,14,15,16,37",0
28,15,41,5,0.12195121951219512,"1,2,17,29,33",0
28,16,41,5,0.12195121951219512,"1,2,28,32,41",0
29,1,41,3,0.07317073170731707,"10,15,27",0
29,2,41,4,0.0975609756097561,"1,12,20,29",0
29,3,41,2,0.04878048780487805,"1,6",0
29,4,41,4,0.0975609756097561,"1,2,3,7",0
29,5,41,5,0.12195121951219512,"1,2,11,25,26",0
29,6,41,3,0.07317073170731707,"1,2,9",0
29,7,41,2,0.04878048780487805,"1,6",0
29,8,41,2,0.04878048780487805,"2,5",0
29,9,41,4,0.0975609756097561,"1,2,9,20",0
29,10,41,3,0.07317073170731707,"2,3,4",0
29,11,41,0,0.0,,0
29,12,41,2,0.04878048780487805,"1,13",0
29,13,41,2,0.04878048780487805,"2,6",0
29,14,41,3,0.07317073170731707,"1,3,17",0
29,15,41,4,0.0975609756097561,"1,2,4,12",0
29,16,41,3,0.07317073170731707,"1,2,14",0
