well,electrode,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
5,10,0,0,1,247,1,5,3,4,3,0,3,4,0,16,9,32,67,48,3,113,10,76,1,3,18,2,3,733,2654,27,7,4,3,2,2,3,3,0,5,0,2
5,11,0,0,3,1,4,41,2,1,0,89,89,6,102,35,84,13,47,4,1,10,2,7,0,9,109,3,12,7,189,5,4,117,5,4,130,21,285,42,7,3,5
5,12,0,0,1,3,1,0,0,3,3,1,1,2,2,4,4,87,39,431,47,3,0,61,61,752,198,18,565,2917,2504,15,246,76,269,1332,569,69,3,50,17,18,6
5,13,0,0,3,1,1,2,4,4,4,3,1,1,1,2,2,4,1,7,0,2,5,1,5,12,4,1,1,5,0,3,0,5,1,4,3,4,2,1,1,1,1
5,14,0,0,1,4,4,3,2,4,0,1,2,9,16,9,2,2,134,3,2,117,29,1,13,4,3,3,27,12,3,1295,338,58,1,170,2,38,17,3,12,1,4
5,15,0,0,2,1,3,19,6,0,5,3,5,1,3,2,2,2,22,46,2,4,0,7,25,4,4,3,42,0,2,3,5,1,2,563,4,5,5,5,4,2,2
5,16,0,0,4,3,0,3,4,2,0,2,4,1,2,1,0,2,2,4,4,1,602,4,11,1,3,21,1,222,54,191,1398,4,3,4,3,1,1,0,2,3,7
6,1,1,0,1,2,2,2,1,0,7,3,2,1,2,152,6,1029,616,117,6,3,36,3,21,2,11,27,7,0,405,21,7,1,27,121,1,3,2,1,5,3,0
6,2,0,0,3,2,0,2,4,2,1,1,6,0,2,0,27,588,293,253,401,217,0,60,955,185,20,842,951,1297,36,3,1610,891,18,763,3994,3372,915,449,7,59,6
6,3,8,85,532,308,368,52,184,1,747,137,511,335,10,5,363,309,542,301,272,1288,241,162,100,518,9,944,804,34,583,1019,2574,1712,1510,3022,4435,3266,2898,4265,2964,765,3847
6,4,0,1,6,2,2,3,2,2,5,4,1,3,1,5,2,0,2,0,10,6,1,5,4,33,19,466,91,6,4,6,4,5,0,0,4,1,3,3,0,1,0
6,5,0,0,4,1,3,0,3,2,3,4,943,3,2,0,0,6,1,1,4,2,4,3,1306,4,207,650,999,41,29,509,6,13,65,40,0,6,21,2,6,4,7
6,6,0,0,1,5,5,73,66,9,7,25,0,1,5,0,1,3,4,4,4,0,0,4,3,1,13,4,3,4,4,0,4,2,1,3,2,4,1,1,0,2,64
6,7,0,0,5,0,0,0,6,1,3,2,3,5,1,4,80,270,359,424,129,1102,55,30,4,1,1,4,1,122,726,10,72,155,3,3,3,1,6,0,0,4,2
6,8,0,0,1,2,2,1,3,2,2,0,2,0,1,4,21,2,2,33,759,382,127,127,158,3,155,1069,87,2,4,164,71,97,1478,3,3,1,4,3,1,4,8
6,9,0,0,3,1,5,1,2,1,2,1,1,4,4,2,3,2,1,8,2,2,1,4,3,2,4,4,1,1,2,16,19,342,23,109,179,385,270,5,2,4,5
6,10,0,0,1,1,2,3,3,0,0,5,2,5,3,4,0,1,6,1,2,1,3,2,2,4,6,1,218,27,34,92,6,3,2,4,6,1,28,436,498,138,2
6,11,0,1,2,7,3,1,9,6,137,72,103,22,449,381,11,1,2,4,1,19,0,3,9,4,7,6,13,4,4,2,2,3,2,2,1,2,3,4,7,3,2
6,12,0,0,3,2,2,3,4,1,37,2,2,4,0,2,0,3,2,2,1,2,3,2,0,1,6,21,8,2,2,2,4,532,1,7,3,2,2,3,2,784,3
6,13,0,0,6,6,5,1,3,2,1,2,5,2,1,1,4,3,2,5,5,1,4,0,242,174,3,8,3,9,195,14,255,169,1,328,166,75,47,47,88,425,44
6,14,0,2,38,72,23,7,4,10,137,100,1,1,3,3,2,3,4,1,1,2,5,1,11,4,0,5,4,668,126,188,371,1011,52,1891,2785,4235,4703,1,1,2,2
6,15,0,0,2,0,3,6,2,3,3,3,2,2,4,0,1,1,0,4,6,4,0,3,6,5,37,1,44,5,5,28,100,126,422,21,0,1,5,5,3,3,2
6,16,1,0,2,3,23,8,3,3,2,5,159,7,322,64,274,5,1,3,2,7,1,1,33,6,6,1,2,6,1,2,2,2,1,13,8,4,6,2,0,5,3
7,1,0,31,245,60,1,47,43,1,2,4,1,32,4,6,6,33,90,61,185,12,7,1,4,5,1,1,327,2,0,2,2,2,2,0,1,1,2,5,4,3,1
7,2,0,0,3,4,1,2,1,1,2,19,341,391,4,431,1838,528,88,56,9,278,469,145,578,29,2,2,3,18,1,0,2,4,1,4,0,2,3,1,1,4,2
7,3,1,1,4,1,2,1,2,8,391,215,134,4,10,2,5,877,1461,1405,988,2,0,2,2,3,4,383,1,2,0,1,2,2,1,5,2,2,3,2,1,1,1
7,4,0,0,2,0,5,2,1,1,4,2,3,1,2,2,4,3,3,1,0,3,1,2,4,11,1,4,9,38,2,2,3,20,0,3,3,1,0,4,2,3,2
7,5,0,0,3,5,4,1,5,5,1,4,0,3,2,2,2,4,1,3,0,1,15,1,4,4,0,2,1,3,5,31,2,5,3,11,2,4,2,54,107,2665,13
7,6,1,0,8,12,4,2,2,2,2,1,2,0,3,4,2,1,3,0,4,3,2,5,1,3,0,3,2,7,10,18,2,5,1,5,1,1,3,1,1,7,10
7,7,0,0,1,3,4,1,2,2,4,6,4,18,48,5,5,3,3,2,1,4,960,1,5,3,2,1,4,19,1,69,20,19,171,144,11,27,106,1297,1211,1426,951
7,8,0,0,0,0,1,4,1,3,5,2,5,0,0,1,4,2,2,0,2,2,1,3,2,2,1,4,3,3,0,3,4,5,3,1,2,0,3,1,2,4,3
7,9,0,0,1,4,252,115,3,1,6,14,21,12,5,224,20,4,1,5,91,6,4,1,13,18,2,4,4,6,2,6,1,2,3,4,2,26,0,2,8,2,3
7,10,0,33,210,4,6,1,1,5,1,5,2,3,4,3,3,88,1,7,5,6,15,119,3,3,8,1,1,2,2,4,3,1,1,2,2,1,1,17,6,3,2
7,11,0,0,2,6,3,2,2,1,1,11,1,3,2,1,1,2,2,3,2,1,4,3,8,7,0,2,4,2,5,2,5,2,515,367,0,1356,6,748,292,239,267
7,12,0,1,2,2,3,7,2,1,3,1,1,1,4,4,3,4,0,0,2,2,3,4,4,1,1,6,5,0,19,1,0,4,1,3,2,4,2,4,2,3,2
7,13,0,0,2,1,0,0,2,0,12,3,14,6,1,2,1,1,2,3,3,11,9,41,11,19,1,2,2,43,13,4,5,5,5,6,4,3,5,2,2,3,2
7,14,0,0,2,3,3,4,3,0,1,3,3,3,193,370,35,10,14,52,89,1,49,22,3,18,10,1,5,1,14,3,8,23,4,11,4,1,305,3,1,3,2
7,15,0,0,6,3,3,0,1,3,2,2,14,3,3,4,1,5,3,0,3,2,2,0,2,1,1,2,3,2,1,77,26,11,2,2,0,3,2,18,29,54,101
7,16,0,0,2,0,0,2,2,2,3,1,2,1,2,1,275,53,20,11,65,29,1,3,1,3,1,4,7,2,5,2,3,5,2,3,0,1,2,1,0,1,6
8,1,0,0,2,4,4,0,8,3,0,2,1,3,1,3,4,1,2,4,6,2,4,2,45,6,544,139,293,87,4,5,5,1,4,6,2,3,2,1,1,0,1
8,2,1,0,3,3,5,3,3,4,3,2,1,3,2,2,3,0,3,4,1,21,141,2,376,2,2,109,2,39,4,4,50,40,5,1,3,9,2,0,3,3,2
8,3,0,0,4,2,1,3,3,4,2,3,0,2,4,3,3,1,1,3,3,5,2,1,11,3,3,3,2,17,43,404,636,64,474,7,1,0,1,5,2,5,2
8,4,1,1,0,2,3,1,0,2,3,2,6,2,2,1,3,3,2,2,2,2,4,3,1,11,1,4,2,7,2,4,1,1,1,2,1,1,2,2,3,0,1
8,5,0,0,0,1,3,1,3,1,4,1,2,5,1,2,2,2,2,1,3,4,4,30,1,2,1,9,6,1,1,3,4,2,3,150,3,0,2,2,1,0,1
8,6,0,0,2,2,9,1,6,3,1,0,3,4,3,3,1,1,3,1,3,1,3,1,1,2,3,0,40,4,8,3,3,3,633,4,2,7,13,29,5,3,4
8,7,0,1,4,0,3,1,3,5,1,2,509,402,113,423,595,1121,980,644,1631,1327,1328,2091,2047,1422,1718,1170,1202,921,1972,2207,1485,1637,787,2468,3360,2733,3307,3108,1529,1449,1255
8,8,1,1,5,2,3,4,4,2,1,1,3,3,4,3,41,5,3,4,3,5,2,3,2,4,2,2,2,1,2,2,0,2,0,1,3,3,0,1,6,2,1
8,9,1,0,3,2,4,2,2,1,2,1,2,3,1,1,6,2,3,9,3,5,1,5,2,6,1,0,2,2,2,2,4,6,3,3,2,0,4,3,3,2,1
8,10,1,2,0,4,3,4,1,2,7,3,4,1,0,0,4,2,3,18,67,0,2,0,5,4,95,3,1,3,1,3,0,0,1,0,3,2,3,3,5,5,5
8,11,2,0,4,1,2,2,2,4,1,1,5,1,1,4,1,3,3,1,2,1,17,1,3,3,2,0,0,144,1,6,4,4,0,4,18,39,127,219,111,74,309
8,12,0,0,4,2,4,7,3,1,4,2,1,3,0,1,2,2,2,0,4,17,4,3,0,6,1,3,2,1,1,2,4,1,3,4,4,4,0,2,2,2,3
8,13,0,0,3,1,2,1,1,0,1,3,3,3,5,1,5,1,1,1,6,1,1,5,1,2,4,3,1,1,2,4,3,0,2,2,4,0,4,1,2,5,2
8,14,3,0,3,1,2,1,1,1,1,0,4,0,0,5,2,1,345,11,3,3,3,3,0,3,1,1135,408,253,5,8,0,1,3,2,1,3,5,2,9,83,4
